TS,V1,V2,V3,W1,W2,W3
1497825000,236.42768361193143,237.5820574079179,237.59933713551086,0.0,0.0,0.0
1497828600,233.80930074055962,235.4388879442996,235.01715420919223,0.0,0.0,0.0
1497832200,232.33603373611683,233.88718878112286,233.5381337987347,0.0,0.0,0.0
1497835800,230.07076669824173,231.81091773911083,230.59119643408718,0.0,0.0,0.0
1497839400,236.4513181000412,237.4295537292765,238.12763609152955,0.0,0.0,0.0
1497843000,228.5198750571765,229.50910577323813,230.23268360562687,0.0,0.0,0.0
1497846600,230.607452996885,231.84859522450682,232.3899006758396,0.0,0.0,0.0
1497850200,230.6669120034764,232.35054658430445,232.5746929183477,0.0,0.0,0.0
1497853800,235.3358540413084,237.37194623366418,236.8196062189019,0.0,0.0,0.0
1497857400,241.14668000050904,243.28125421346328,242.7175155128183,0.0,0.0,0.0
1497861000,235.2159859534473,237.0101790626295,237.0504794885624,0.0,0.0,0.0
1497864600,234.391697148134,235.94304360532917,236.45737997502772,0.0,0.0,0.0
1497868200,237.0821767070633,239.26474612394853,239.22738544726718,0.0,0.0,0.0
1497871800,239.68133149323185,242.93535868327285,241.64289820264332,0.0,0.0,0.0
1497875400,238.79581632347853,241.86568858029273,243.81513177924703,0.000560582888623,0.0016817486782866667,0.1337982241311667
1497879000,240.67824560498002,242.5048778170515,242.9155755118571,0.0,0.0,0.0
1497882600,241.25711431956955,242.95587800043248,243.18942642211545,0.0,0.0,0.0
1497886200,240.6226601302697,242.72938448192008,243.4130781591056,0.0,0.0,0.0
1497889800,242.03415492223635,243.72502865865283,245.35341253734325,0.0,0.0,0.0
1497893400,240.19989243765855,241.26081154840298,243.42519272698212,0.0,0.0,0.0
1497897000,241.1671065528853,241.71789203303186,243.63144652110682,0.0,0.0,0.0
1497900600,231.1394615853326,232.14419809473046,233.04377012346728,0.00028961552307000003,0.0008688465505833333,0.062056045532333334
1497904200,233.48032436447028,234.00961149918763,234.78275715221505,0.0,0.0,0.0
1497907800,230.85542438814372,233.84417835966667,232.36163513666475,0.0008667205522456665,0.0026001616567366665,0.1891465711595
1497911400,235.90500832736237,236.1925259731663,237.1696344961049,0.0,0.0,0.0
1497915000,234.15722345646824,234.89390714745065,235.38970090844083,0.0,0.0,0.0
1497918600,231.10085688739449,232.48217958849997,232.32677313815532,0.0002899803593755,0.000869941090545,0.0632455539705
1497922200,229.0482985605791,230.7902816652015,229.83534846852382,0.0,0.0,0.0
1497925800,232.81551836976826,236.14917176502982,233.999236426014,0.000477027396361,0.0014310821890833334,0.10161501248683336
1497929400,231.41288017045144,232.78803145909316,232.9101105945031,0.0,0.0,0.0
1497933000,230.18116105005157,231.85582043020463,231.24171823913727,0.0,0.0,0.0
1497936600,231.03712963030603,233.15001439114516,232.27391336477237,0.0,0.0,0.0
1497940200,233.82953218925547,235.68200729278823,234.80498673671855,0.0,0.0,0.0
1497943800,237.6923226267117,240.7546338485149,238.92400774187664,0.0,0.0,0.0
1497947400,227.40437265120545,232.79663975272248,228.21733065850887,0.0009757424890991667,0.0029272274673,0.212214005788
1497951000,231.59085920272167,234.1436286759524,232.64851167045512,0.0,0.0,0.0
1497954600,232.97038220699403,235.617025484907,234.32973536121798,0.0,0.0,0.0
1497958200,236.61301576523613,240.25398084853347,238.64817104642026,0.0,0.0,0.0
1497961800,239.5752181703988,242.22088892498417,241.74620749454155,0.0,0.0,0.0
1497965400,240.5786637899543,243.18052388184518,242.67646376989086,0.0,0.0,0.0
1497969000,240.4154147651436,242.85794656108098,242.60148975041156,0.0,0.0,0.0
1497972600,240.87019257136768,242.68047434388473,243.03792449161824,0.0,0.0,0.0
1497976200,240.08405609734896,240.86473068358532,243.1056510683057,0.0,0.0,0.0
1497979800,236.21392144099,237.83732069106128,239.51606714156162,0.0,0.0,0.0
1497983400,229.5237489465382,229.4982568848964,232.588241995186,0.0,0.0,0.0
1497987000,223.46299004931348,223.84946020821042,225.32690126933545,0.0,0.0,0.0
1497990600,232.13866059016289,232.7509135555425,234.4188357404634,0.0,0.0,0.0
1497994200,233.5173507325476,234.7130389878348,235.45090970955383,0.0,0.0,0.0
1497997800,235.24038577078323,236.41460311411723,237.63056904076169,0.0,0.0,0.0
1498001400,233.06420100751083,234.4523734215464,235.18291752880592,0.0,0.0,0.0
1498005000,229.01696351799774,230.15242882841838,231.2457191801673,0.0,0.0,0.0
1498008600,230.09895194261242,231.68712966341363,231.2773768460934,0.0,0.0,0.0
1498012200,239.47589599852384,241.9063338328556,241.2425199063713,0.0,0.0,0.0
1498015800,231.2714521852113,231.89215198376118,232.90209298030902,0.0,0.0,0.0
1498019400,230.13471048183376,231.84566641326148,232.8824688599763,0.0,0.0,0.0
1498023000,230.83799838067688,233.57149610690013,233.02838795674847,0.0,0.0,0.0
1498026600,235.94076892308925,237.1551928444385,237.77665789164314,0.0,0.0,0.0
1498030200,239.64344632624992,242.47548696397288,241.24830949305482,0.0,0.0,0.0
1498033800,234.1564990549801,236.5865227640459,235.99832477911755,0.0,0.0,0.0
1498037400,233.38128052363808,235.51465859989875,234.64675951857254,0.0,0.0,0.0
1498041000,232.1379682997741,234.86981756036357,236.22492908582416,0.005237968961396667,0.015713906685516667,0.4061840311685
1498044600,235.59560068168247,237.52998498655285,237.642390262392,0.0,0.0,0.0
1498048200,241.35718160961122,242.9559591989584,242.69748224531918,0.0,0.0,0.0
1498051800,241.90648156203602,243.539220996495,243.58609523507585,0.0,0.0,0.0
1498055400,241.69496872130463,244.07437294888229,243.814258621034,0.0,0.0,0.0
1498059000,240.6991306486469,243.01102305214297,243.3374739147241,0.0,0.0,0.0
1498062600,236.2909913906147,237.81438081813943,239.39816275188568,0.0022793659567833333,0.006838097969683331,0.3073597017925
1498066200,227.84361952673757,228.99777625141743,229.7323504954253,0.0,0.0,0.0
1498069800,230.75091889459645,231.91481421529832,231.9296166057733,0.0,0.0,0.0
1498073400,230.14774227981385,230.80236804297996,231.19640050615848,0.0031194121142233333,0.009358236392333333,0.48694131215400005
1498077000,233.34858824955072,234.7890237311272,235.02805050800202,0.0,0.0,0.0
1498080600,235.24901068660427,236.91509940270703,237.20758612605343,0.0,0.0,0.0
1498084200,235.27643178366384,236.9204636831171,236.81705605035896,0.0005387969190866667,0.0016163907448449998,0.12532764434816662
1498087800,234.42857804621124,236.00376396635642,235.4085795185897,0.0,0.0,0.0
1498091400,232.0561285343865,233.59550247648895,233.4269713137204,0.0011921122670166665,0.0035763367017166664,0.11381468454999999
1498095000,230.0481665366781,231.9156690411809,230.6639015698489,0.0,0.0,0.0
1498098600,233.88849933798062,235.5546432646178,235.7025312971268,0.0033389989038316668,0.010016996463150001,0.5426080067953333
1498102200,231.69197611983378,233.17099680217092,233.25095461286494,0.000782997657855,0.0023489930232333334,0.12608847300216666
1498105800,226.0092068021904,228.27212152027587,227.9448022993791,0.0047201780478150004,0.01416053394475,0.543027153015
1498109400,226.22039826803834,227.8830244512532,228.0835851236216,0.003362686584393334,0.010088059703500001,0.38523550669350004
1498113000,232.48522039734246,234.40174744860582,233.57739082562168,0.0,0.0,0.0
1498116600,237.6507963025011,239.7760733572008,239.2410048680161,0.0,0.0,0.0
1498120200,232.31897243719757,234.30326882857472,233.98712599824552,0.0,0.0,0.0
1498123800,233.58991192823518,234.89288974473482,236.1856507989043,0.0,0.0,0.0
1498127400,236.00451678323205,238.3358040763948,238.0586548457024,0.0,0.0,0.0
1498131000,239.0062555585876,241.76687455554767,240.7558637044028,0.0,0.0,0.0
1498134600,240.2878386179583,242.81761838521808,241.59484742178168,0.0,0.0,0.0
1498138200,239.14766380933747,242.16450064959287,241.6406925528944,0.0,0.0,0.0
1498141800,229.16367678890748,234.2941138239228,236.4311706240812,0.012671749790516667,0.03801524917283333,1.6236282857266666
1498145400,232.82637773214103,234.546453790682,234.99703205936203,0.0,0.0,0.0
1498149000,236.23832082558548,237.9017466510857,237.31919128295638,0.0,0.0,0.0
1498152600,234.59754766292374,236.32137912287251,236.59647279535733,0.004004912277061666,0.012014736930533334,0.6217753855386667
1498161600,239.171258313453,241.8411144934251,241.4673229834452,0.0,0.0,0.0
1498165200,241.6744581555615,244.5828654879561,243.56968174281937,0.0,0.0,0.0
1498168800,240.37807930840862,243.23435023473598,242.25676993718682,0.0,0.0,0.0
1498172400,237.07308042453124,239.78155538898224,238.83904380568455,0.005696191489696667,0.01708857456845,0.8725334167483334
1498176000,237.38952187209856,239.11131821751675,238.9105601339419,0.0,0.0,0.0
1498179600,234.50655957725056,235.89971496822534,236.3620702217457,0.0,0.0,0.0
1498183200,230.3407672931443,232.7946418883154,232.36228733969642,0.003371638208628333,0.010114914576199998,0.38270249684650004
1498186800,233.27117162527355,236.0286006624661,235.0684099046072,0.0016954309741650001,0.00508629282315,0.16991133371983333
1498190400,228.35008200467144,229.76126705962974,230.7118110883466,0.0,0.0,0.0
1498194000,230.3481873288068,233.40401714065345,231.50859990820916,0.0,0.0,0.0
1498197600,231.7532172732779,234.2748701610141,233.2017543429422,0.0,0.0,0.0
1498201200,237.43517276220643,239.8318133883968,239.0219674489028,0.0,0.0,0.0
1498204800,237.6820261213712,239.18563164605143,238.52250650192454,0.0,0.0,0.0
1498208400,232.49396063723168,234.63908778941257,234.7519492278309,0.0,0.0,0.0
1498212000,233.72597455413845,236.32911416758284,235.46826618180432,0.0,0.0,0.0
1498215600,236.1804950653592,238.8422727736189,237.88022026181937,0.0,0.0,0.0
1498219200,237.0157879353569,239.6140540681474,240.72403592416146,0.005389572332301667,0.016168717145933334,0.6077764129639999
1498222800,241.87370236462533,244.511227641904,242.68728400608364,0.0,0.0,0.0
1498226400,240.63040873010812,243.81716726709038,242.02345873614377,0.0,0.0,0.0
1498230000,239.4135500495303,243.05275388919708,240.8850139602888,0.005232548117636667,0.015697644551583335,0.35377071380616665
1498233600,241.2102880420718,242.822948493862,243.3805564834672,0.0,0.0,0.0
1498237200,241.3496343824681,242.39695491486538,243.69053964764683,0.0,0.0,0.0
1498242600,228.91414622812889,229.83632556564942,231.4412263665097,0.004637910872698333,0.013913732767083332,0.7110816701253333
